 
List of nellore Locations Pin Code
Location	Pincode	State	District
Kurugonda	524402	Andhra Pradesh	Nellore
Lakshmanaraopalli	524001	Andhra Pradesh	Nellore
Lakshmipuram	524225	Andhra Pradesh	Nellore
Lalapeta	524132	Andhra Pradesh	Nellore
Lebur	524314	Andhra Pradesh	Nellore
Leguntapadu	524137	Andhra Pradesh	Nellore
Lingalapadu	524240	Andhra Pradesh	Nellore
Lingamgunta	524201	Andhra Pradesh	Nellore
Lingaraju Agraharam	524223	Andhra Pradesh	Nellore
Lingasamudram	524407	Andhra Pradesh	Nellore
Macherlavaripalem	524311	Andhra Pradesh	Nellore
Madamanur	524405	Andhra Pradesh	Nellore
Madapalli	524341	Andhra Pradesh	Nellore
Madarabadara	524308	Andhra Pradesh	Nellore
Maddurupalli	524408	Andhra Pradesh	Nellore
Madhavayapalem	524134	Andhra Pradesh	Nellore
Madiraja Guduru	524346	Andhra Pradesh	Nellore
Mahalakshmipuram	524002	Andhra Pradesh	Nellore
Mahimalur	524307	Andhra Pradesh	Nellore
Makthapuram	524306	Andhra Pradesh	Nellore
Malavyanagar	524101	Andhra Pradesh	Nellore
Mallam	524403	Andhra Pradesh	Nellore
Mambathi	524121	Andhra Pradesh	Nellore
Mamidipudi	524346	Andhra Pradesh	Nellore
Mamudur	524309	Andhra Pradesh	Nellore
Manchalapalli	524301	Andhra Pradesh	Nellore
Mandalanaidupalli	524222	Andhra Pradesh	Nellore
Mandapam	524311	Andhra Pradesh	Nellore
Maneguntapadu	524366	Andhra Pradesh	Nellore
Manganellore	524121	Andhra Pradesh	Nellore
Mangupalli	524302	Andhra Pradesh	Nellore
Mannarpolur(urban Area)	524121	Andhra Pradesh	Nellore
Mannur	524131	Andhra Pradesh	Nellore
Manubolu	524405	Andhra Pradesh	Nellore
Manubolupadu	524240	Andhra Pradesh	Nellore
Manulalpeta	524132	Andhra Pradesh	Nellore
Maramreddipalli	524310	Andhra Pradesh	Nellore
Marlapudi	524407	Andhra Pradesh	Nellore
Marripadu	524312	Andhra Pradesh	Nellore
Marupur	524345	Andhra Pradesh	Nellore
Masaipeta	524226	Andhra Pradesh	Nellore
Matumadugu	524404	Andhra Pradesh	Nellore
Menakur	524421	Andhra Pradesh	Nellore
Mettu	524413	Andhra Pradesh	Nellore
Mikkilimpeta	524366	Andhra Pradesh	Nellore
Minagallu	524305	Andhra Pradesh	Nellore
Minamanamudi	524123	Andhra Pradesh	Nellore
Mittatmakur	524409	Andhra Pradesh	Nellore
Mizur	524123	Andhra Pradesh	Nellore
Moddurupadu	524203	Andhra Pradesh	Nellore
Mogallur	524345	Andhra Pradesh	Nellore
Mohammadapuram	524309	Andhra Pradesh	Nellore
Molaganur	524411	Andhra Pradesh	Nellore
Molakalapudi	524127	Andhra Pradesh	Nellore
Momidi	524412	Andhra Pradesh	Nellore
Mondidinnepalem	524203	Andhra Pradesh	Nellore
Mopur	524134	Andhra Pradesh	Nellore
Muchalagunta	524126	Andhra Pradesh	Nellore
Mudimurthypuram	524239	Andhra Pradesh	Nellore
Mudivarthi	524137	Andhra Pradesh	Nellore
Mudivarthipalem	524313	Andhra Pradesh	Nellore
Mulapadava	524403	Andhra Pradesh	Nellore
Mulapeta	524003	Andhra Pradesh	Nellore
Mulumudi	524004	Andhra Pradesh	Nellore
Mungamuru	524142	Andhra Pradesh	Nellore
Murugalla	524001	Andhra Pradesh	Nellore
Musunur	524201	Andhra Pradesh	Nellore
Muthukur	524344	Andhra Pradesh	Nellore
Muttembaka	524415	Andhra Pradesh	Nellore
Mypadu	524313	Andhra Pradesh	Nellore
Nadimpalli	524404	Andhra Pradesh	Nellore
Nagulapadu	524001	Andhra Pradesh	Nellore
Nagulavaram	524142	Andhra Pradesh	Nellore
Nagulavellatur	524343	Andhra Pradesh	Nellore
Naidupalem	524316	Andhra Pradesh	Nellore
Nallagonda	524228	Andhra Pradesh	Nellore
Nandavaram	524307	Andhra Pradesh	Nellore
Nandigunta	524228	Andhra Pradesh	Nellore
Nandipadu	524230	Andhra Pradesh	Nellore
Narampeta	524307	Andhra Pradesh	Nellore
Narasapuram	524313	Andhra Pradesh	Nellore
Narasimhapuram	524221	Andhra Pradesh	Nellore
Narasingaraopeta	524101	Andhra Pradesh	Nellore
Narayanappapeta	524310	Andhra Pradesh	Nellore
Narayanareddypeta	524314	Andhra Pradesh	Nellore
Narikellapalli	524344	Andhra Pradesh	Nellore
Narrawada	524222	Andhra Pradesh	Nellore
Narukuru	524002	Andhra Pradesh	Nellore
Navalakh Gardens	524002	Andhra Pradesh	Nellore
Navur	524345	Andhra Pradesh	Nellore
Nawabpeta	524408	Andhra Pradesh	Nellore
Nayudupeta	524126	Andhra Pradesh	Nellore
Nedurupalli	524309	Andhra Pradesh	Nellore
Nekunampeta	524201	Andhra Pradesh	Nellore
Nelaballi	524126	Andhra Pradesh	Nellore
Nellatur	524344	Andhra Pradesh	Nellore
Nellimitta Kandriga	524002	Andhra Pradesh	Nellore
Nellipudi	524415	Andhra Pradesh	Nellore
Nellore	524001	Andhra Pradesh	Nellore
Nellore Bazar	524001	Andhra Pradesh	Nellore
Nellore Ceremic factory	524004	Andhra Pradesh	Nellore
Nellore Cutchery	524001	Andhra Pradesh	Nellore
Nellore Z.p	524001	Andhra Pradesh	Nellore
Nemalladinna	524310	Andhra Pradesh	Nellore
Nidi Musali	524313	Andhra Pradesh	Nellore
Nidigallu	524404	Andhra Pradesh	Nellore
Nidiguntapalem	524323	Andhra Pradesh	Nellore
Nidigurthi	524403	Andhra Pradesh	Nellore
Nindali	524406	Andhra Pradesh	Nellore
Nookanapalli	524343	Andhra Pradesh	Nellore
North Amaluru	524315	Andhra Pradesh	Nellore
North Mopur	524315	Andhra Pradesh	Nellore
Northrajupalem	524366	Andhra Pradesh	Nellore
Ntr Nagar	524002	Andhra Pradesh	Nellore
Nuvvurupadu	524001	Andhra Pradesh	Nellore
P.R.palem	524101	Andhra Pradesh	Nellore
Padamatikhambampadu	524301	Andhra Pradesh	Nellore
Padamatinaidupalli	524302	Andhra Pradesh	Nellore
Padamatipalem	524306	Andhra Pradesh	Nellore
Paderu	524341	Andhra Pradesh	Nellore
Padmanabhasatram	524316	Andhra Pradesh	Nellore
Padugupadu	524137	Andhra Pradesh	Nellore
Palachur	524421	Andhra Pradesh	Nellore
Palemkota	524132	Andhra Pradesh	Nellore
Palicherlapadu	524320	Andhra Pradesh	Nellore
Palicherlavaripalem	524412	Andhra Pradesh	Nellore
Pallipadu	524314	Andhra Pradesh	Nellore
Palugodu	524134	Andhra Pradesh	Nellore
Palur	524407	Andhra Pradesh	Nellore
Panchedu	524306	Andhra Pradesh	Nellore
Pandipadu	524304	Andhra Pradesh	Nellore
Pantapalem	524323	Andhra Pradesh	Nellore
Panugodu	524304	Andhra Pradesh	Nellore
Papannagaripalli	524236	Andhra Pradesh	Nellore
Papireddypalem	524311	Andhra Pradesh	Nellore
Paravolu	524132	Andhra Pradesh	Nellore
Parikota	524225	Andhra Pradesh	Nellore
Parlapalli	524218	Andhra Pradesh	Nellore
Patha Bitragunta	524142	Andhra Pradesh	Nellore
Pathadevarayapalli	524303	Andhra Pradesh	Nellore
Pathanapuram	524234	Andhra Pradesh	Nellore
Pathapadu	524309	Andhra Pradesh	Nellore
Pathapalli	524301	Andhra Pradesh	Nellore
Patur	524137	Andhra Pradesh	Nellore
Peda Kandla	524307	Andhra Pradesh	Nellore
Pedavanjivaka	524411	Andhra Pradesh	Nellore
Peddabbipuram	524304	Andhra Pradesh	Nellore
Peddakondur	524225	Andhra Pradesh	Nellore
Peddapariya	524402	Andhra Pradesh	Nellore
Peddaputtedu	524317	Andhra Pradesh	Nellore
Peddireddypalli	524236	Andhra Pradesh	Nellore
Pedur	524311	Andhra Pradesh	Nellore
Pegallapadu	524312	Andhra Pradesh	Nellore
Pellakur	524129	Andhra Pradesh	Nellore
Pelleru	524309	Andhra Pradesh	Nellore
Penuballi	524305	Andhra Pradesh	Nellore
Penubarthi	524414	Andhra Pradesh	Nellore
Peramana	524308	Andhra Pradesh	Nellore
Periavaram	524132	Andhra Pradesh	Nellore
Perimidi	524421	Andhra Pradesh	Nellore
Pernadu	524124	Andhra Pradesh	Nellore
Perumallapadu	524407	Andhra Pradesh	Nellore
Peturu	524132	Andhra Pradesh	Nellore
Peyyalapalem	524316	Andhra Pradesh	Nellore
Phase-ii	524124	Andhra Pradesh	Nellore
Pidathapoluru	524346	Andhra Pradesh	Nellore
Pidur	524405	Andhra Pradesh	Nellore
Pigilam	524404	Andhra Pradesh	Nellore
Podalakur	524345	Andhra Pradesh	Nellore
Pogathota	524001	Andhra Pradesh	Nellore
Pokkandala	524407	Andhra Pradesh	Nellore
Polampadu	524224	Andhra Pradesh	Nellore
Polireddipalem	524123	Andhra Pradesh	Nellore
Polytechnic	524005	Andhra Pradesh	Nellore
Ponguru	524302	Andhra Pradesh	Nellore
Ponnapudipeddapalem	524218	Andhra Pradesh	Nellore
Pothegunta	524407	Andhra Pradesh	Nellore
Pothireddypalem	524137	Andhra Pradesh	Nellore
Potlapudi	524002	Andhra Pradesh	Nellore
Pottempadu	524346	Andhra Pradesh	Nellore
Pottepalem	524004	Andhra Pradesh	Nellore
Psr Nagar	524004	Andhra Pradesh	Nellore
Pudiparthi	524321	Andhra Pradesh	Nellore
Pudur	524126	Andhra Pradesh	Nellore
